page_slug,page_title,url,page_type,v1_scope,build_status,priority,primary_cta,secondary_cta,primary_image,image_status,key_sections,missing_inputs,notes
home,Home,/,Core landing page,Live v1,Ready with content placeholders,High,Request a Free Quote,Call [TO BE PROVIDED],[TO BE PROVIDED],Hero image missing,"Hero; core service cards; proof/gallery preview; trust placeholders; quote CTA; contact band","Service area [TO BE PROVIDED]; phone number [TO BE PROVIDED]; homepage hero image [TO BE PROVIDED]; trust proof [TO BE PROVIDED]","Treat missing hero imagery as a blocker. Do not borrow from dot-prefixed folders."
about,About Genesis Roofing Ltd,/about,Trust page,Live v1,Ready with content placeholders,Medium,Request a Free Quote,Call [TO BE PROVIDED],[TO BE PROVIDED],Missing,"Company overview; service area; approach; trust proof placeholders; CTA","Company story [TO BE PROVIDED]; team image [TO BE PROVIDED]; registration details [TO BE PROVIDED]; insurance/accreditation evidence [TO BE PROVIDED]","Do not invent years of experience, awards, accreditations or guarantees."
services,Services,/services,Service index,Live v1,Ready,High,Request a Free Quote,Call [TO BE PROVIDED],images/services/roof-repairs/ridge-tile-replacement-01.webp,Approved service image,"Service overview; core service cards; quote CTA","Confirmed service list [TO BE PROVIDED]; service area [TO BE PROVIDED]; phone number [TO BE PROVIDED]","Keep to core roofing services only."
roof-repairs,Roof Repairs,/services/roof-repairs,Service page,Live v1,Ready with content placeholders,High,Request a Roof Repair Quote,Call [TO BE PROVIDED],images/services/roof-repairs/ridge-tile-replacement-01.webp,Approved service image,"Hero; repair types; before/after proof; FAQs; CTA","Exact repair scope [TO BE PROVIDED]; emergency availability [TO BE PROVIDED]; service area [TO BE PROVIDED]; phone number [TO BE PROVIDED]","Avoid emergency claims unless confirmed."
new-roofs,New Roofs,/services/new-roofs,Service page,Live v1,Ready with content placeholders,High,Request a Free Quote,Call [TO BE PROVIDED],images/services/new-roofs/genesis-corrugated-roofing-after-2.webp,Approved service image,"Hero; replacement roof needs; process; project images; FAQs; CTA","Roof types [TO BE PROVIDED]; service area [TO BE PROVIDED]; guarantees [TO BE PROVIDED]; phone number [TO BE PROVIDED]","Use factual replacement roof copy only."
flat-roofing,Flat Roofing,/services/flat-roofing,Service page,Live v1,Ready with content placeholders,High,Request a Free Quote,Call [TO BE PROVIDED],images/services/flat-roofing/genesis-glass-reinforced-plastic-after.webp,Approved service image,"Hero; flat roof repairs/replacements; system placeholders; gallery; CTA","Systems offered [TO BE PROVIDED]; service area [TO BE PROVIDED]; guarantee details [TO BE PROVIDED]; phone number [TO BE PROVIDED]","Only mention GRP/felt if confirmed by business."
fascias-soffits-guttering,"Fascias, Soffits and Guttering",/services/fascias-soffits-guttering,Service page,Live v1,Ready with content placeholders,High,Request a Free Quote,Call [TO BE PROVIDED],images/services/fascias-soffits-guttering/genesis-guttering-added-to-side-of-building-1.webp,Approved service image,"Hero; roofline issues; fascias/soffits/guttering sections; gallery; CTA","Exact scope [TO BE PROVIDED]; materials [TO BE PROVIDED]; service area [TO BE PROVIDED]; phone number [TO BE PROVIDED]","Combined service page is suitable for v1."
chimney-repairs,Chimney Repairs,/services/chimney-repairs,Service page,Live v1,Ready with content placeholders,Medium,Request a Free Quote,Call [TO BE PROVIDED],images/services/chimney-repairs/genesis-chimney-work-after.webp,Approved service image,"Hero; common chimney issues; confirmed service scope; gallery; CTA","Exact chimney services [TO BE PROVIDED]; service area [TO BE PROVIDED]; phone number [TO BE PROVIDED]","Needs more images before deeper SEO expansion."
gallery,Gallery,/gallery,Proof page,Live v1,Structure ready - imagery incomplete,Medium,Request a Free Quote,Call [TO BE PROVIDED],[TO BE PROVIDED],Gallery folder empty,"Project gallery; service filters; captions; CTA","Approved gallery images [TO BE PROVIDED]; project captions [TO BE PROVIDED]; project locations [TO BE PROVIDED]; image permissions [TO BE PROVIDED]","Do not invent project details. Use neutral captions if service images are reused."
contact,Contact,/contact,Conversion page,Live v1,Ready with content placeholders,High,Request a Free Quote,Call [TO BE PROVIDED],[TO BE PROVIDED],Missing,"Quote form; phone CTA; email; address; opening hours; service area","Phone [TO BE PROVIDED]; email [TO BE PROVIDED]; address [TO BE PROVIDED]; opening hours [TO BE PROVIDED]; service area [TO BE PROVIDED]","Cannot be final until contact details are supplied."
emergency-roofing,Emergency Roofing,/services/emergency-roofing,Conditional service page,Conditional only,Hold,High,Call [TO BE PROVIDED],Request a Quote,[TO BE PROVIDED],Missing,"Emergency issue guidance; availability; response area; CTA","Emergency availability [TO BE PROVIDED]; hours [TO BE PROVIDED]; response process [TO BE PROVIDED]; images [TO BE PROVIDED]","Do not include as live v1 page unless confirmed."
reviews,Reviews,/reviews,Conditional trust page,Conditional only,Hold,Medium,Request a Free Quote,Call [TO BE PROVIDED],[TO BE PROVIDED],Missing,"Review list; review source links; CTA","Verified reviews [TO BE PROVIDED]; review source [TO BE PROVIDED]; permission to use reviews [TO BE PROVIDED]","Do not invent reviews or ratings."
areas-covered,Areas Covered,/areas-covered,Conditional local SEO page,Conditional only,Hold,Medium,Request a Free Quote,Call [TO BE PROVIDED],[TO BE PROVIDED],Missing,"Service area overview; area list; CTA","Confirmed service areas [TO BE PROVIDED]; priority towns/cities [TO BE PROVIDED]","Do not create area pages or lists without confirmed locations."
